	Haltung	Begründung	true	model	run
213	progressiv	Der Artikel begrüßt explizit die wachsende Zahl studierender Frauen und stellt fest, dass 'Schwierigkeiten und Vorurteile überwanden die Zeit und kluge Einsicht'. Er befürwortet die akademische Bildung von Frauen und deren Berufstätigkeit als Ärztinnen, Lehrerinnen und in der Mission, was für das frühe 20. Jahrhundert eine progressive Haltung darstellt.	progressiv	anthropic/claude-sonnet-4	1
214	konservativ	Der Artikel diskutiert zwar die Möglichkeit eines Frauenberufs, kommt aber zu dem Schluss, dass Klavierstimmen für Frauen ungeeignet sei, da sie angeblich nicht über die nötigen körperlichen Kräfte und starken Nerven verfügen würden. Dies spiegelt typische Geschlechterstereotype des 19./frühen 20. Jahrhunderts wider, die Frauen körperliche und nervliche Schwäche zuschrieben.	konservativ	anthropic/claude-sonnet-4	1
215	progressiv	Der Artikel befürwortet ausdrücklich die Frauenbewegung und setzt sich für bessere Bildungsmöglichkeiten für Frauen auf dem Land ein. Er kritisiert den Mangel an Berufsbildungsschulen für Landmädchen und betont die Notwendigkeit einer vertieften Bildung und besserer Existenzmöglichkeiten für Frauen.	progressiv	anthropic/claude-sonnet-4	1
216	konservativ	Der Text befürwortet zwar eine gewisse Selbständigkeit für Töchter bei der Verwaltung ihrer Aussteuer, aber nur im Rahmen der traditionellen Rolle als zukünftige Hausfrau. Er rechtfertigt explizit die Ungleichbehandlung zwischen Söhnen und Töchtern bei der finanziellen Ausstattung, da der Mann als alleiniger Ernährer gesehen wird und die Frau später von dessen Einkommen profitiert.	progressiv	anthropic/claude-sonnet-4	1
217	konservativ	Der Artikel wendet sich gegen die selbständige Vermögensverwaltung von Frauen in der Ehe und argumentiert, dass Frauen bereits genügend Einfluss durch ihre traditionelle Rolle im Haushalt haben. Die Frauenrechtsbewegung wird als überflüssig und von unbeschäftigten Frauen getrieben dargestellt, während die traditionelle Rollenverteilung zwischen Mann und Frau verteidigt wird.	konservativ	anthropic/claude-sonnet-4	1
218	progressiv	Der Artikel behandelt selbstverständlich berufstätige Lehrerinnen und zeigt einen Kreis junger, erwerbstätiger Frauen, die sich professionell austauschen. Dies spiegelt eine progressive Haltung wider, da Frauen in Lehrberufen und ihre berufliche Autonomie als normal dargestellt werden.	neutral	anthropic/claude-sonnet-4	1
219	progressiv	Der Artikel befürwortet explizit die Erwerbsarbeit von Frauen und zeigt konkrete Wege auf, wie Frauen in der Wollwarenbranche wirtschaftliche Selbständigkeit erlangen können. Besonders progressiv ist die Aussage, dass Frauen als Filialleiterin 'so viel verdienen kann, daß sie eine ganze Familie ernähren kann', was traditionelle Geschlechterrollen durchbricht.	progressiv	anthropic/claude-sonnet-4	1
220	konservativ	Der Artikel kritisiert den Einfluss von Frauen auf die Literatur als verweichlichend und schädlich, indem er eine idealisierte männliche Härte und Kraft gegenüber der zarten, sentimentalen Weiblichkeit kontrastiert, was ein traditionelles Geschlechterbild verstärkt. Er lehnt den dominanten weiblichen Einfluss ab, ohne für Frauenrechte oder Bildung einzutreten, und betont stattdessen, dass Frauen dem öffentlichen Leben fernstehen sollten. Diese Haltung idealisiert ein konservatives Rollenverständnis, in dem weibliche Beiträge als minderwertig dargestellt werden.	konservativ	x-ai/grok-4	1
221	konservativ	Der Text beschreibt Frauen hauptsächlich in traditionellen Rollen als Ehefrauen von Unteroffizieren, die den Haushalt managen, sparsam wirtschaften und ihre Männer unterstützen, ohne jegliche Forderung nach Frauenrechten, Bildung oder Erwerbsarbeit außerhalb des familiären Kontexts. Er idealisiert dieses Bild der Frau als Pantoffel schwingende Hausfrau und betont Standespflichten sowie ein hierarchisches Familienmodell in der Kaserne, was ein konservatives Geschlechterverständnis widerspiegelt. Die Erwähnung von Bildung für Töchter dient lediglich der Illustration familiärer Opfer und wird nicht als progressiver Anspruch präsentiert.	neutral	x-ai/grok-4	1
222	konservativ	Der Artikel kritisiert die Frauenbewegung scharf, da sie berufstätige Frauen von der Fortpflanzung abhält und damit die Erhaltung der Rasse gefährdet, und fordert stattdessen, Frauen auf ihre mütterliche Rolle zu beschränken, um ein traditionelles Familienbild zu wahren. Er idealisiert das Modell, in dem Männer allein für den Unterhalt sorgen und Frauen zu Hause bleiben, und warnt vor den schädlichen Folgen der Emanzipation, die zu 'Frauenherrschaft' und dem Untergang von Völkern führe. Diese Haltung lehnt progressive Elemente wie Frauen in Erwerbsarbeit ab und betont stattdessen konservative Geschlechterrollen im Dienst der Rassenhygiene.	anderes Thema	x-ai/grok-4	1
223	progressiv	Der Artikel befürwortet die Einstellung von Frauen als bezahlte Armenpflegerinnen in öffentlichen Positionen und hebt ihre Gleichberechtigung mit Männern in Kommissionen hervor, was im Kontext des frühen 20. Jahrhunderts eine Unterstützung für Frauen in der Erwerbsarbeit und öffentlichen Verantwortung darstellt. Er widerlegt Vorurteile gegen Frauen und plädiert für ihre Ausbildung und Vorbereitung auf diese Rollen, was als Fortschritt in Richtung mehr Frauenrechte und Bildung gewertet werden kann. Obwohl traditionelle Geschlechterstereotypen idealisiert werden, überwiegt die Förderung neuer Möglichkeiten für Frauen außerhalb des privaten Bereichs.	progressiv	x-ai/grok-4	1
224	progressiv	Der Text setzt sich explizit für die Verbesserung der Bildung und Berufschancen von Frauen ein, betont die Notwendigkeit des Frauenstimmrechts und unterstützt die Erwerbsarbeit von Frauen als Reaktion auf industrielle Veränderungen. Er hebt die Errungenschaften der Frauenbewegung hervor, wie die Eröffnung von Universitäten und Berufen für Frauen, und argumentiert für deren gemeinnützigen Charakter ohne traditionelle Rollen zu idealisieren oder abzulehnen. Dies entspricht einer progressiven Haltung im Kontext des 19. und frühen 20. Jahrhunderts, da er aktiv für Frauenrechte und gesellschaftliche Integration eintritt.	progressiv	x-ai/grok-4	1
225	konservativ	Der Artikel verspottet die Frauenrechtlerinnen, die sich für Gleichberechtigung einsetzen, indem er ironisch ein baskisches Modell als 'gelöste Frauenfrage' präsentiert, in dem Frauen dominant sind und Männer benachteiligt werden, was implizit die Forderungen nach Frauenrechten als absurd darstellt. Er idealisiert kein traditionelles Familienbild direkt, lehnt aber progressive Ideen ab, indem er die Agitation der Frauen als unnötig belächelt und andeutet, dass echte Gleichberechtigung zu einer Umkehrung der Machtverhältnisse führen würde. Dies entspricht einer konservativen Haltung, die Veränderungen in der Geschlechterrolle ablehnt.	konservativ	x-ai/grok-4	1
226	progressiv	Der Artikel bespricht im Abschnitt über 'Arbeiterinnen' die Probleme arbeitender Frauen und fordert explizit den Ausbau der Arbeiterschutzgesetzgebung sowie gewerkschaftliche Organisation für Frauen, was aus der Perspektive des frühen 20. Jahrhunderts eine progressive Haltung darstellt, da es die Erwerbsarbeit von Frauen anerkennt und Verbesserungen für ihre Rechte und Schutz einfordert. Obwohl traditionelle Rollen als Hausfrauen und Mütter idealisiert werden, wird dies mit dem Ziel verknüpft, Frauen vor Ausbeutung zu schützen und sie zu stärken, anstatt die Erwerbsarbeit abzulehnen. Der Hauptteil des Texts behandelt zwar andere Themen, aber der genderbezogene Abschnitt setzt sich für soziale Reformen ein, die Frauenrechte fördern.	falsch	x-ai/grok-4	1
227	konservativ	Der Artikel idealisiert die traditionelle Rolle der Frau als 'Gehilfin' des Mannes, Hüterin des Heims und opferbereite Unterstützerin während des Krieges, was ein klassisches konservatives Familienbild widerspiegelt. Obwohl er die Fortschritte in der Bildung von Frauen anerkennt und alleinstehende Frauen zu ehrenamtlicher Arbeit in Vereinen oder Pflege ermutigt, geschieht dies im Kontext patriotischer Pflicht und nicht als Plädoyer für breitere Frauenrechte wie Wahlrecht oder unabhängige Erwerbsarbeit. Die Betonung liegt auf der Erhaltung des Haushalts und der Familie, ohne progressive Forderungen nach Gleichberechtigung.	konservativ	x-ai/grok-4	1
228	neutral	Der Artikel fördert die politische und wirtschaftliche Bildung von Frauen durch Kurse und Vorträge, was aus der Perspektive des frühen 20. Jahrhunderts progressiv ist, da es Frauen ermutigt, sich öffentlich zu engagieren und Lücken in ihrer Erziehung zu schließen. Gleichzeitig betont er konservative Elemente, indem er warnt, dass Frauen erst nationale Pflichten erfüllen sollten, bevor sie Rechte fordern, und den Fokus auf traditionelle Rollen in Familie und Vaterland legt, ohne explizit für Frauenwahlrecht oder Erwerbsarbeit einzutreten. Diese Mischung aus progressiven und konservativen Ansätzen macht die Haltung insgesamt neutral.	progressiv	x-ai/grok-4	1
229	konservativ	Der Artikel idealisiert das traditionelle Familienbild, indem er den natürlichen Beruf der Frau als Ehefrau, Mutter und Hausfrau darstellt und andere Berufe lediglich als Ersatz dafür ansieht, die mit dieser Rolle vereinbar sein müssen. Obwohl er grundsätzlich alle Berufe für Frauen öffnen will, betont er die angeborene Verschiedenheit der Geschlechter und empfiehlt Berufe, die aus häuslichen Tätigkeiten hervorgehen, was eine Ablehnung progressiver Ideen wie vollständiger Gleichberechtigung in allen Berufen impliziert. Aus der Perspektive des 19./frühen 20. Jahrhunderts verstärkt dies konservative Geschlechterrollen, anstatt für umfassende Frauenrechte oder unabhängige Erwerbsarbeit einzutreten.	ambivalent	x-ai/grok-4	1
230	progressiv	Der Text empfiehlt eine Vorbereitungsanstalt für Frauen zum Abiturientenexamen und hebt deren Erfolge hervor, was die höhere Bildung von Frauen fördert, eine progressive Haltung im Kontext des frühen 20. Jahrhunderts. Im zweiten Teil kritisiert die Autorin die Ausbeutung qualifizierter Frauen durch unbezahlte Arbeit und plädiert für faire Bezahlung in weiblichen Berufen, was sich gegen traditionelle Unterdrückung richtet und Frauenrechte stärkt. Es wird kein traditionelles Familienbild idealisiert, sondern stattdessen die berufliche Emanzipation und faire Bedingungen für Frauen betont.	progressiv	x-ai/grok-4	1
231	neutral	Der Text unterstützt progressive Elemente wie die Bildung und Erwerbsarbeit für Frauen, insbesondere Unverheiratete, um eine selbstständige Stellung zu erreichen, was für das 19. Jahrhundert fortschrittlich ist. Gleichzeitig nimmt er eine konservative Haltung ein, indem er das Frauenwahlrecht und politische Beteiligung ablehnt, die traditionelle Rolle der Frau im Haushalt als Ehefrau und Mutter idealisiert und warnt vor dem Verlust der Weiblichkeit durch radikale Emanzipation. Dadurch werden sowohl progressive als auch konservative Meinungen zum Thema Gender vertreten.	konservativ	x-ai/grok-4	1
232	progressiv	Der Artikel setzt sich aktiv für die Erwerbsarbeit von Frauen in der Glasmalerei ein, indem er ihre Eignung für diesen künstlerischen Beruf hervorhebt und eine zweijährige Ausbildung ohne Vorkenntnisse empfiehlt. Er betont die guten Verdienstmöglichkeiten und präsentiert dies als aussichtsreichen Beruf für leistungsfähige Frauen, was eine fortschrittliche Haltung zur beruflichen Emanzipation von Frauen im frühen 20. Jahrhundert darstellt. Es werden keine traditionellen Rollen idealisiert, sondern neue berufliche Chancen für Frauen gefördert.	progressiv	x-ai/grok-4	1
233	konservativ	Der Text argumentiert explizit gegen die intellektuelle Gleichheit von Frauen und Männern, lehnt höhere Bildung für Frauen ab und betont natürliche Unterschiede, die Frauen auf die Rolle als Mutter und Erzieherin beschränken. Er kritisiert Forderungen nach Frauenrechten wie Gymnasien für Mädchen und idealisiert ein traditionelles Geschlechterbild, in dem Frauen nicht mit Männern in geistigen oder beruflichen Bereichen konkurrieren sollten. Diese Haltung widerspricht progressiven Ideen wie Frauenbildung und Erwerbsmöglichkeiten und verstärkt konservative Vorstellungen von Geschlechterrollen.	konservativ	x-ai/grok-4	1
234	progressiv	Der Text empfiehlt den Beruf der Irrenpflegerin explizit für gebildete junge Mädchen als befriedigenden und erfüllenden Beruf, was die Förderung von Erwerbsarbeit und beruflicher Entwicklung für Frauen unterstreicht. Er hebt die Flexibilität in verschiedenen Pflegebereichen hervor, um die Arbeitsfähigkeit von Frauen langfristig zu erhalten, und setzt sich damit für berufliche Möglichkeiten jenseits traditioneller Rollen ein. Aus der Perspektive des 19. oder frühen 20. Jahrhunderts repräsentiert dies eine progressive Haltung, da es die Bildung und Erwerbstätigkeit von Frauen aktiv unterstützt, ohne ein traditionelles Familienbild zu idealisieren.	progressiv	x-ai/grok-4	1
235	progressiv	Der Artikel bewirbt aktiv neue Berufe für Frauen wie Hilfspräparatorin und Graphologin, hebt Chancen für Erwerbsarbeit in Museen, privat oder als Nebenverdienst hervor und diskutiert Ausbildungswege, was im Kontext des 19./frühen 20. Jahrhunderts die Förderung von Frauen in der Erwerbsarbeit und beruflicher Unabhängigkeit darstellt. Er ermutigt Frauen, Fähigkeiten wie Fleiß und Interesse an Natur zu nutzen, um Einkommen zu erzielen, und schlägt sogar vor, dass Präparatorinnen in Schulen unterrichten könnten, was Bildung und berufliche Teilhabe unterstützt. Es wird kein traditionelles Familienbild idealisiert, sondern stattdessen die berufliche Emanzipation betont.	progressiv	x-ai/grok-4	1
236	progressiv	Der Text feiert den zunehmenden Zugang von Frauen zum akademischen Studium und sieht Vorurteile als überwunden an, was eine Unterstützung für die Bildung von Frauen darstellt. Er ermutigt Frauen, ihre Fähigkeiten in Berufen wie Ärztinnen und Lehrerinnen einzusetzen, insbesondere in der Mission und sozialen Arbeit, und fördert damit die Erwerbsarbeit von Frauen. Obwohl christliche Werte betont werden, idealisiert der Artikel kein traditionelles Familienbild, sondern bereitet Frauen auf tatkräftige Hilfe und Mitwirkung in der Gesellschaft vor.	progressiv	x-ai/grok-4	1
237	konservativ	Der Artikel idealisiert das traditionelle Bild der Frau als tüchtige Hausfrau und Mutter, kritisiert die moderne Neigung junger Frauen zu Muße und Vergnügungen und fordert eine Erziehung zu ernsthafter häuslicher Arbeit, um sittliche und körperliche Entartung zu verhindern. Obwohl er am Ende neue Berufswege für Frauen anerkennt, priorisiert er die Vorbereitung auf den Hausfrauenberuf als primäre Aufgabe, was eine konservative Haltung zur Geschlechterrolle widerspiegelt. Diese Betonung auf traditionelle Familienwerte und Ablehnung moderner Lebensweisen überwiegt gegenüber progressiven Elementen.	konservativ	x-ai/grok-4	1
238	konservativ	Der Artikel lehnt den Beruf der Klavierstimmerin für Frauen in Deutschland ab, indem er betont, dass der Beruf starke Nerven und körperliche Kräfte erfordert, denen nur wenige Frauen gewachsen wären, was ein traditionelles Stereotyp von weiblicher Schwäche verstärkt. Obwohl er zugibt, dass Frauen den musikalischen Teil leisten könnten, rät er insgesamt davon ab und idealisiert damit indirekt traditionelle Geschlechterrollen, in denen Frauen solchen anspruchsvollen Erwerbsberufen nicht zugemutet werden. Dies steht im Kontrast zu progressiven Haltungen, die Frauen den Zugang zu neuen Berufen erleichtern würden.	konservativ	x-ai/grok-4	1
239	progressiv	Der Text befürwortet die Ausbreitung der Frauenbewegung aufs Land und setzt sich für eine vertiefte Bildung, bessere Existenzmöglichkeiten und die Hebung des weiblichen Standes ein, was als progressiv gilt. Er kritisiert den Mangel an beruflichen Schulen für Landmädchen im Vergleich zu Jungen und hebt die hohe Zahl erwerbstätiger Frauen in der Landwirtschaft hervor, um besondere Beachtung und Verbesserungen zu fordern. Obwohl die Bewegung als unpolitisch dargestellt wird, zielt sie auf kulturelle und soziale Fortschritte ab, die Frauenrechte und -bildung fördern.	progressiv	x-ai/grok-4	1
240	konservativ	Der Artikel lehnt fortschrittliche Elemente der Frauenemanzipation ab, wie das Studium von Frauen für wissenschaftliche Berufe oder die Behandlung männlicher Patienten durch Ärztinnen, und idealisiert stattdessen traditionelle Rollen als Mütter und Hausfrauen. Er kritisiert die 'Blaustrümpfe' und betont die natürliche Bestimmung der Frauen in Ehe und Mutterschaft, während er praktische Ausbildungen nur in hausnahen Bereichen vorschlägt, um Konkurrenz zu Männern zu vermeiden. Insgesamt wird ein konservatives Familienbild propagiert, das Frauen auf Opferbereitschaft und Pflicht im Dienst der Nation durch Kindererziehung reduziert.	konservativ	x-ai/grok-4	1
241	konservativ	Der Text idealisiert ein traditionelles Familienbild, in dem der Mann als Ernährer dargestellt wird und Söhne daher mehr finanzielle Unterstützung für ihre Ausbildung erhalten sollten, während Töchter auf Gleichstellung verzichten und sich auf die Rolle als sparsame Hausfrau vorbereiten. Obwohl er etwas Selbstständigkeit für Bräute bei der Verwaltung der Aussteuer fördert, dient dies ausschließlich der Vorbereitung auf das verantwortliche Regiment im eigenen Hause, ohne Themen wie Frauenbildung, Erwerbsarbeit oder Rechte anzusprechen. Aus der Perspektive des 19./frühen 20. Jahrhunderts verstärkt dies konservative Geschlechterrollen, anstatt progressive Veränderungen zu fordern.	progressiv	x-ai/grok-4	1
242	konservativ	Der Artikel lehnt die Forderung ab, dass verheiratete Frauen ihr Vermögen selbständig verwalten sollen, und argumentiert stattdessen für die Beibehaltung der traditionellen Rollenverteilung in der Ehe, bei der der Mann die Verantwortung und Verfügung über das Vermögen trägt. Er idealisiert ein konservatives Familienbild, in dem die Frau durch moralischen Einfluss und Charakterstärke wirken soll, anstatt durch gesetzliche Rechte, und kritisiert die Frauenemanzipationsbewegung als abstrakt und schädlich. Diese Haltung widersetzt sich progressiven Veränderungen wie erweiterten Rechten für Frauen und betont stattdessen die Stabilität traditioneller Geschlechterrollen.	konservativ	x-ai/grok-4	1
243	progressiv	Der Artikel nimmt eine progressive Haltung ein, da er die Erwerbsarbeit von Frauen als Lehrerinnen als selbstverständlich und positiv darstellt und praktische Ratschläge gibt, um in diesem Beruf effektiver zu wirken, was im Kontext des 19. oder frühen 20. Jahrhunderts die Akzeptanz und Förderung beruflicher Unabhängigkeit für Frauen unterstützt. Er betont die Würde der Lehrerin, ohne traditionelle Familienrollen zu idealisieren, und plädiert für eine fröhliche, helle Kleidung, die von strengen konservativen Normen abweicht. Es wird keine Ablehnung von Frauenrechten oder Forderung nach traditionellen Geschlechterrollen geäußert, sondern implizit die Bildung und berufliche Rolle von Frauen gefördert.	neutral	x-ai/grok-4	1
244	progressiv	Der Artikel fördert aktiv die Erwerbsarbeit von Frauen in der Wollwarenbranche, indem er jungen Mädchen, Witwen und Waisen rät, nach Apolda zu gehen, um sofort zu verdienen und Karrierechancen bis hin zur Filialleiterin zu nutzen, was eine finanzielle Unabhängigkeit ermöglicht und sogar das Ernähren einer Familie erlaubt. Dies steht im Kontrast zu konservativen Ansichten, die Frauen auf traditionelle Haushaltsrollen beschränken würden, und unterstützt stattdessen die berufliche Integration von Frauen unabhängig von Alter oder Vorkenntnissen. In der Perspektive des 19. oder frühen 20. Jahrhunderts ist diese Ermutigung zu bezahlter Arbeit außerhalb des Hauses als progressiv einzustufen.	progressiv	x-ai/grok-4	1
245	konservativ	Der Artikel beschreibt Frauen als dominierende Leserschaft und Einflussnahme auf die Literatur, jedoch in einem abwertenden Ton, indem Frauenliteratur als seicht und emotional beschrieben wird. Der Text idealisiert ein traditionelles Bild von weiblicher Einflussnahme und reduziert die Rolle der Frauen auf Literaturkonsum und ihrer vermeintlichen Naivität, was insgesamt als konservativ zu bewerten ist.	konservativ	openai/gpt-4o	1
246	konservativ	Der Artikel beschreibt die Rolle von Frauen in der Kaserne in einer Art, die traditionelle Geschlechterrollen unterstützt und idealisiert ihre Rolle als Ehefrauen und Mütter. Es gibt keine Hinweise auf Unterstützung für Frauenrechte oder die Ermutigung von Frauen, außerhalb traditioneller Rollen zu agieren.	neutral	openai/gpt-4o	1
247	konservativ	Der Artikel lehnt die Frauenbewegung ab, betont die Notwendigkeit der Frauen, sich auf ihre Rolle als Mütter zu konzentrieren und kritisiert die Erwerbsarbeit von Frauen als hinderlich für die Fortpflanzung. Zudem wird die traditionelle Familienstruktur idealisiert.	anderes Thema	openai/gpt-4o	1
248	progressiv	Der Artikel beschreibt die zunehmende Einbindung von Frauen in die öffentliche Armenpflege und hebt ihre Wirksamkeit und Fähigkeiten in diesem Bereich hervor. Dies zeigt eine Anerkennung der Fähigkeiten von Frauen und spricht sich für ihre aktive Teilnahme an sozialen Aufgaben aus, was für die damalige Zeit eine progressive Haltung darstellt.	progressiv	openai/gpt-4o	1
249	progressiv	Der Artikel beschreibt die Errungenschaften und das Streben der Frauenbewegung nach Gleichberechtigung und Verbesserungen in Bildung, Berufsmöglichkeiten und rechtlicher Anerkennung für Frauen, was für die damalige Zeit als progressive Haltung angesehen wird.	progressiv	openai/gpt-4o	1
250	progressiv	Der Artikel beschreibt ein Beispiel für die Gleichberechtigung von Frauen im Baskenland, wo Frauen Rechte besitzen, die weit über das hinausgehen, was in der damaligen Zeit üblich war. Dies beinhaltet das Erbrecht, die Unabhängigkeit der Frau nach einer Heirat und teilweise das Stimmrecht. Diese Darstellung steht im Gegensatz zu den traditionellen Geschlechterrollen dieser Epoche und zeigt eine eher progressive Haltung.	konservativ	openai/gpt-4o	1
251	progressiv	Der Artikel setzt sich für den Ausbau der Arbeiterschutzgesetzgebung und die gewerkschaftliche Organisation von Frauen ein. Er thematisiert die Schwierigkeiten, die Frauen aufgrund ihrer Erwerbsarbeit erfahren, und fordert eine präventive soziale Arbeit, um allgemeine Missstände zu bekämpfen.	falsch	openai/gpt-4o	1
252	konservativ	Der Artikel idealisiert die traditionelle Rolle der Frau als Gehilfin und Unterstützerin des Mannes im Krieg und beschreibt sie als Hüterin von Heim und Familie. Er betont ihre Pflichten in Abwesenheit des Mannes und impliziert, dass Frauen ihre Aufgaben im Haushalt und in der Wohlfahrt fokussieren sollten, während Männer in den Krieg ziehen. Der Text lehnt somit progressive Ansichten zur Geschlechterrolle ab.	konservativ	openai/gpt-4o	1
253	konservativ	Der Artikel beschreibt den deutschen Frauenbund als Organisation, die Frauen in staatswirtschaftlichen Themen unterrichtet, jedoch betont er stark den nationalen Gedanken und die Arbeit für das Vaterland. Es wird explizit erwähnt, dass der Bund keine anderen Sonderbestrebungen als nationale unterstützt und dass die Pflichten als Bürgerin zu erfüllen sind, bevor besondere Rechte gefordert werden. Dies deutet auf eine konservative Haltung hin, da es die traditionelle Rolle der Frau im Bezug auf das Vaterland und die nationale Identität unterstützt.	progressiv	openai/gpt-4o	1
254	konservativ	Der Artikel vertritt eine konservative Haltung, indem er darauf besteht, dass der natürliche Beruf der Frau der der Ehefrau ist und dass andere Berufe für Frauen nur Ersatz dafür sein sollten. Er hebt hervor, dass Berufe, die Frauen ausüben können, aus Tätigkeiten hervorgehen sollten, die traditionell mit ihrer Rolle als Gattin, Mutter und Hausfrau verbunden sind.	ambivalent	openai/gpt-4o	1
255	progressiv	Der Artikel spricht sich für die Bildung von Frauen aus, indem er eine vorbereitende Institution für das Abitur empfiehlt, die speziell für Frauen konzipiert ist. Dies deutet auf eine Förderung weiblicher Bildung hin, was damals als progressiv galt.	progressiv	openai/gpt-4o	1
256	konservativ	Der Artikel lehnt die Emanzipationsbewegungen, die Frauen politische Beteiligung ermöglichen wollen, deutlich ab. Während er die Bildung und Erwerbstätigkeit von Frauen in Anpassung an angeblich 'passende Wissenschaften und Erwerbszweige' befürwortet, stellt er sich klar gegen die politische Emanzipation und idealisiert die traditionelle Rolle der Frau als Frauen und Mütter in der Häuslichkeit.	konservativ	openai/gpt-4o	1
257	progressiv	Der Artikel beschreibt die Ausbildung und Beschäftigung von Frauen in der Glasmalerei, einem für sie neuen und künstlerischen Berufsfeld. Es wird aufgezeigt, dass Frauen befähigt sind und in der Lage, in diesem Beruf erfolgreich zu arbeiten, was in der Zeit als progressiv gilt, da es Frauen neue berufliche Möglichkeiten und finanzielle Unabhängigkeit eröffnet.	progressiv	openai/gpt-4o	1
258	konservativ	Der Text behauptet, dass es radikale natürliche und permanente Unterschiede in moralischer und geistiger Hinsicht zwischen Männern und Frauen gibt und lehnt die Idee der Gleichstellung intellektueller Fähigkeiten ab, was Frauen in ihren traditionellen Rollen festhält.	konservativ	openai/gpt-4o	1
259	progressiv	Der Artikel empfiehlt Mädchen aus gebildeten Ständen den Beruf der Irrenpflegerin, was auf eine Unterstützung der Berufstätigkeit von Frauen in einem spezialisierten Bereich hinweist. Dies war in der damaligen Zeit eine fortschrittliche Haltung, da Frauen häufig traditionelle Rollen zugewiesen wurden. Außerdem wird die Möglichkeit betont, dass Frauen sich in verschiedenen Berufsbereichen weiterbilden können.	progressiv	openai/gpt-4o	1
260	progressiv	Der Artikel beschreibt neue berufliche Möglichkeiten für Frauen, insbesondere in wissenschaftlichen und spezialisierten Tätigkeiten wie der Präparation von Insekten. Dies deutet auf eine progressive Haltung hin, da Frauen ermutigt werden, Berufe zu ergreifen, die traditionell Männern vorbehalten waren.	progressiv	openai/gpt-4o	1
261	progressiv	Der Artikel beschreibt die Unterstützung und Förderung von Frauen im akademischen Studium und ihrer Beteiligung an sozialen und religiösen Aktivitäten. Die Erwähnung von Frauen, die als Ärztinnen und Lehrerinnen tätig werden sollen, zeigt eine Unterstützung für die Erwerbsarbeit und Ausbildung von Frauen.	progressiv	openai/gpt-4o	1
262	konservativ	Der Artikel kritisiert die moderne 'Vergnügungssucht' und den Mangel an ernsthafter Arbeit bei jungen Frauen, idealisiert das traditionelle Bild der fleißigen und tüchtigen Hausfrau und setzt sich für die Erziehung der weiblichen Jugend zur Häuslichkeit und nicht zur Erwerbsarbeit ein.	konservativ	openai/gpt-4o	1
263	konservativ	Der Artikel argumentiert, dass Frauen aufgrund fehlender körperlicher Stärke und fehlendem Zugang zu notwendiger Ausbildung nicht als Klavierstimmerinnen arbeiten können, was traditionelle Geschlechterrollen unterstützt und Frauen von diesem Beruf ausschließt.	konservativ	openai/gpt-4o	1
264	progressiv	Der Artikel hebt die Bedeutung der ländlichen Frauenbewegung hervor, die sich für Bildungs- und Arbeitsmöglichkeiten für Frauen einsetzt, insbesondere in der Landwirtschaft. Er betont die Wichtigkeit einer vertieften Bildung und besseren Existenzmöglichkeiten für Frauen, was typisch für eine progressive Haltung im Hinblick auf Genderfragen jener Zeit ist.	progressiv	openai/gpt-4o	1
265	konservativ	Der Text lehnt progressive Ideen wie die wissenschaftliche Ausbildung von Frauen und deren berufliche Emanzipation ab. Stattdessen wird ein traditionelles Rollenbild von Frauen als Mütter und Haushälterinnen propagiert. Die Autoren kritisieren, dass Frauen versuchen, in Bereichen zu konkurrieren, die als den Männern vorbehalten angesehen werden, und bezeichnen dies als unlogisch und unnatürlich.	konservativ	openai/gpt-4o	1
266	konservativ	Der Artikel idealisiert ein traditionelles Familienbild, indem er die finanzielle Verantwortung eines Mannes zur Erhaltung des Hausstands hervorhebt und eine gleiche finanzielle Unterstützung für die Ausbildung von Söhnen und Töchtern als ungerecht darstellt. Frauen wird eine beschränkte finanzielle Selbstständigkeit eingeräumt, die jedoch auf die Verwaltung des Haushaltes ausgerichtet ist, nicht auf eigenständige Karriereziele oder Bildung.	progressiv	openai/gpt-4o	1
267	konservativ	Der Artikel argumentiert gegen die selbstständige Vermögensverwaltung von Frauen in der Ehe und stellt die Forderungen nach solchen Rechten als unrealistische Ideologie dar. Er verteidigt die bestehende gesetzliche Regelung, die dem Mann die wirtschaftliche Verantwortung und damit auch die Kontrolle über das Vermögen zuweist, und sieht in den Reformbemühungen einen Angriff auf die bürgerliche Ehe.	konservativ	openai/gpt-4o	1
268	anderes Thema	Der Text behandelt die Kleiderwahl einer Lehrerin und deren Einfluss auf die Stimmung, thematisiert aber keine spezifischen Genderfragen oder progressiv-konservativen Ansichten zu Frauenrechten.	neutral	openai/gpt-4o	1
269	progressiv	Der Artikel beschreibt die Möglichkeit für Frauen, unabhängig und finanziell eigenständig in der Wollwarenbranche tätig zu sein, was Frauen berufliche Chancen und Aufstiegsmöglichkeiten bietet, einschließlich einer Führungsposition als Filialleiterin. Dies fördert die Erwerbstätigkeit von Frauen und bietet ihnen wirtschaftliche Sicherheit, was eine progressive Haltung im Kontext der damaligen Zeit darstellt.	progressiv	openai/gpt-4o	1
